time,open,high,low,close,volume
2026-02-01 23:00:00,4793.519,4801.229,4793.519,4801.229,38
2026-02-01 23:10:00,4817.296,4819.788,4712.969,4741.669,4315
2026-02-01 23:15:00,4741.699,4758.858,4697.912,4718.034,9122
2026-02-01 23:20:00,4717.961,4742.152,4713.808,4721.6,4913
2026-02-01 23:25:00,4721.514,4740.708,4715.701,4727.377,4667
2026-02-01 23:30:00,4727.203,4747.707,4715.245,4747.707,2689
2026-02-01 23:35:00,4747.423,4781.705,4743.976,4777.806,3305
2026-02-01 23:40:00,4777.751,4788.746,4768.624,4774.614,3183
2026-02-01 23:45:00,4774.549,4777.956,4725.733,4747.387,1870
2026-02-01 23:50:00,4747.43,4768.274,4738.923,4751.108,4333
2026-02-01 23:55:00,4750.919,4761.04,4739.308,4741.916,2683
2026-02-02 00:00:00,4742.153,4785.504,4740.112,4784.91,3153
2026-02-02 00:05:00,4784.98,4822.682,4777.965,4818.824,6151
2026-02-02 00:10:00,4818.689,4845.898,4814.3,4845.494,6715
2026-02-02 00:15:00,4845.422,4875.534,4841.33,4865.603,8455
2026-02-02 00:20:00,4865.675,4884.883,4847.686,4856.988,6481
2026-02-02 00:25:00,4856.956,4857.429,4827.222,4846.802,6253
2026-02-02 00:30:00,4846.848,4847.439,4812.078,4819.638,6598
2026-02-02 00:35:00,4819.668,4845.286,4815.455,4833.492,6555
2026-02-02 00:40:00,4833.422,4839.845,4795.247,4804.322,6384
2026-02-02 00:45:00,4804.349,4807.651,4777.93,4797.837,6465
2026-02-02 00:50:00,4798.02,4799.237,4780.421,4791.572,4353
2026-02-02 00:55:00,4791.511,4795.84,4760.06,4766.873,5489
2026-02-02 01:00:00,4766.767,4784.84,4731.364,4756.207,8917
2026-02-02 01:05:00,4756.216,4766.817,4644.736,4656.097,8863
2026-02-02 01:10:00,4656.336,4661.745,4585.336,4643.934,11699
2026-02-02 01:15:00,4644.033,4701.282,4642.607,4678.179,11559
2026-02-02 01:20:00,4678.252,4709.962,4645.618,4673.622,10256
2026-02-02 01:25:00,4673.784,4707.657,4657.514,4697.078,9709
2026-02-02 01:30:00,4697.118,4709.883,4667.533,4703.905,8735
2026-02-02 01:35:00,4703.88,4740.139,4703.88,4712.635,7924
2026-02-02 01:40:00,4712.677,4723.922,4691.192,4714.95,8661
2026-02-02 01:45:00,4714.871,4731.164,4704.595,4721.725,6408
2026-02-02 01:50:00,4721.752,4750.108,4716.861,4735.893,5860
2026-02-02 01:55:00,4736.093,4744.895,4722.228,4737.093,6528
2026-02-02 02:00:00,4736.934,4749.518,4710.557,4725.347,7205
2026-02-02 02:05:00,4725.322,4726.279,4707.895,4712.333,7295
2026-02-02 02:10:00,4712.054,4740.648,4698.503,4731.649,7365
2026-02-02 02:15:00,4731.591,4745.559,4722.154,4734.853,5549
2026-02-02 02:20:00,4735.0,4739.588,4714.927,4725.085,5277
2026-02-02 02:25:00,4725.03,4745.9,4723.636,4738.693,4545
2026-02-02 02:30:00,4738.659,4771.597,4735.613,4753.494,4901
2026-02-02 02:35:00,4753.271,4765.799,4750.443,4755.445,4594
2026-02-02 02:40:00,4755.56,4773.092,4745.645,4764.599,4551
2026-02-02 02:45:00,4764.533,4764.629,4721.611,4729.331,7004
2026-02-02 02:50:00,4729.387,4735.65,4720.057,4727.659,5275
2026-02-02 02:55:00,4727.715,4739.344,4698.051,4711.033,6159
2026-02-02 03:00:00,4711.079,4728.409,4706.373,4706.541,5551
2026-02-02 03:05:00,4706.662,4724.49,4704.522,4718.8,5289
2026-02-02 03:10:00,4718.859,4722.151,4690.762,4692.343,5038
2026-02-02 03:15:00,4692.368,4719.148,4659.291,4717.059,7354
2026-02-02 03:20:00,4717.021,4729.494,4713.546,4715.693,4560
2026-02-02 03:25:00,4715.709,4718.237,4694.07,4696.162,4279
2026-02-02 03:30:00,4696.319,4700.534,4671.597,4673.129,5819
2026-02-02 03:35:00,4673.117,4680.007,4646.146,4654.446,8369
2026-02-02 03:40:00,4654.496,4672.901,4630.285,4666.906,8080
2026-02-02 03:45:00,4666.631,4694.564,4663.974,4686.233,7071
2026-02-02 03:50:00,4686.193,4686.233,4658.316,4658.581,4891
2026-02-02 03:55:00,4658.669,4664.843,4639.443,4646.538,6277
2026-02-02 04:00:00,4646.567,4659.113,4607.844,4609.316,6367
2026-02-02 04:05:00,4609.356,4659.884,4603.508,4655.342,7053
2026-02-02 04:10:00,4655.207,4663.712,4633.171,4662.311,6187
2026-02-02 04:15:00,4662.418,4697.937,4660.546,4697.611,4787
2026-02-02 04:20:00,4697.681,4705.171,4675.389,4681.046,5287
2026-02-02 04:25:00,4680.979,4689.594,4668.796,4671.166,3750
2026-02-02 04:30:00,4671.261,4699.941,4670.087,4686.801,4933
2026-02-02 04:35:00,4686.833,4693.978,4665.284,4667.296,4088
2026-02-02 04:40:00,4667.327,4691.269,4657.676,4688.587,5190
2026-02-02 04:45:00,4688.626,4713.526,4685.218,4686.842,4440
2026-02-02 04:50:00,4686.798,4692.325,4674.992,4686.157,4489
2026-02-02 04:55:00,4686.098,4688.938,4672.401,4679.776,4036
2026-02-02 05:00:00,4679.705,4693.667,4670.355,4690.835,4290
2026-02-02 05:05:00,4690.918,4696.844,4661.611,4673.352,5165
2026-02-02 05:10:00,4673.453,4677.581,4649.475,4662.152,4843
2026-02-02 05:15:00,4662.409,4674.501,4657.899,4661.259,3988
2026-02-02 05:20:00,4661.415,4668.856,4649.381,4667.008,3814
2026-02-02 05:25:00,4666.895,4670.426,4654.647,4658.2,3707
2026-02-02 05:30:00,4658.393,4658.418,4619.302,4632.001,8302
2026-02-02 05:35:00,4632.306,4643.069,4603.778,4623.331,7356
2026-02-02 05:40:00,4623.068,4625.152,4573.177,4576.022,8227
2026-02-02 05:45:00,4575.979,4579.556,4524.965,4553.247,9081
2026-02-02 05:50:00,4553.139,4570.43,4498.122,4538.443,11272
2026-02-02 05:55:00,4538.409,4566.184,4521.184,4549.479,9499
2026-02-02 06:00:00,4549.384,4573.619,4543.698,4558.394,7153
2026-02-02 06:05:00,4558.324,4565.0,4521.037,4551.789,8159
2026-02-02 06:10:00,4551.517,4563.554,4532.386,4535.563,6903
2026-02-02 06:15:00,4535.504,4549.779,4514.624,4529.837,6885
2026-02-02 06:20:00,4529.945,4531.494,4440.881,4461.627,10531
2026-02-02 06:25:00,4460.123,4495.145,4433.473,4486.622,11029
2026-02-02 06:30:00,4486.542,4500.957,4464.596,4468.757,8057
2026-02-02 06:35:00,4468.731,4474.319,4402.065,4406.212,9018
2026-02-02 06:40:00,4406.239,4456.305,4404.089,4453.354,10771
2026-02-02 06:45:00,4453.23,4462.315,4430.42,4439.328,8373
2026-02-02 06:50:00,4439.295,4485.966,4437.831,4484.912,9386
2026-02-02 06:55:00,4484.825,4523.371,4481.863,4505.395,8699
2026-02-02 07:00:00,4505.546,4537.337,4484.754,4533.861,7332
2026-02-02 07:05:00,4533.927,4553.755,4521.213,4553.755,6281
2026-02-02 07:10:00,4553.842,4554.554,4526.366,4537.167,6526
2026-02-02 07:15:00,4537.122,4561.241,4523.75,4529.031,6757
2026-02-02 07:20:00,4528.842,4557.983,4526.307,4548.504,7279
2026-02-02 07:25:00,4548.551,4574.967,4548.367,4560.392,6826
2026-02-02 07:30:00,4560.365,4567.198,4524.853,4535.393,6486
2026-02-02 07:35:00,4535.354,4572.238,4529.09,4568.73,4398
2026-02-02 07:40:00,4568.758,4592.281,4567.401,4582.996,3920
2026-02-02 07:45:00,4583.048,4619.114,4583.048,4615.165,3384
2026-02-02 07:50:00,4615.208,4615.307,4582.063,4598.428,4958
2026-02-02 07:55:00,4598.453,4611.42,4584.919,4587.206,3881
2026-02-02 08:00:00,4587.177,4596.784,4561.465,4575.762,6336
2026-02-02 08:05:00,4575.841,4625.401,4569.593,4618.255,5634
2026-02-02 08:10:00,4618.302,4628.365,4603.525,4610.487,5333
2026-02-02 08:15:00,4610.539,4633.191,4601.002,4632.389,3126
2026-02-02 08:20:00,4632.353,4649.683,4629.793,4640.154,5204
2026-02-02 08:25:00,4640.187,4646.801,4619.894,4646.406,4406
2026-02-02 08:30:00,4646.518,4650.133,4625.173,4629.011,4791
2026-02-02 08:35:00,4628.987,4633.194,4607.552,4627.323,5043
2026-02-02 08:40:00,4627.35,4650.107,4623.492,4641.557,4038
2026-02-02 08:45:00,4641.426,4648.655,4633.488,4643.873,3641
2026-02-02 08:50:00,4643.822,4651.402,4628.256,4647.261,4534
2026-02-02 08:55:00,4647.201,4647.733,4627.064,4640.842,3358
2026-02-02 09:00:00,4640.814,4645.582,4603.449,4628.653,6198
2026-02-02 09:05:00,4628.605,4637.518,4616.752,4633.919,5489
2026-02-02 09:10:00,4633.98,4658.247,4629.879,4646.515,4583
2026-02-02 09:15:00,4646.588,4649.338,4631.454,4642.089,4071
2026-02-02 09:20:00,4642.06,4650.96,4626.174,4649.575,3951
2026-02-02 09:25:00,4649.207,4700.008,4644.16,4690.344,6991
2026-02-02 09:30:00,4690.287,4705.148,4684.418,4690.388,5853
2026-02-02 09:35:00,4690.466,4704.76,4679.375,4702.546,5194
2026-02-02 09:40:00,4702.519,4713.811,4685.113,4688.134,5790
2026-02-02 09:45:00,4688.179,4718.435,4684.702,4717.089,4243
2026-02-02 09:50:00,4717.191,4721.392,4700.025,4718.06,5127
2026-02-02 09:55:00,4717.962,4731.412,4706.628,4719.489,6381
2026-02-02 10:00:00,4719.438,4733.958,4710.483,4713.758,4770
2026-02-02 10:05:00,4713.81,4723.143,4703.379,4713.836,4232
